Class Name,YAML Files,Existing Count,Total Count,Status
"ExternalDataSourceWorkingDemo","lookup/customer-profile-enrichment.yaml",1,1,"Complete"
"FinancialDemo","infrastructure/financial-validation-rules.yaml",1,1,"Complete"
"FinancialStaticDataProvider","infrastructure/datasets/financial-client-accounts.yaml; infrastructure/datasets/financial-clients.yaml; infrastructure/datasets/financial-commodities.yaml; infrastructure/datasets/financial-counterparties.yaml; infrastructure/datasets/financial-currencies.yaml; infrastructure/financial-static-data-provider.yaml",0,6,"Missing 6"
"FluentRuleBuilderExample","evaluation/fluent-rule-builder-demo.yaml; evaluation/fluent-rule-builder/customer-processing-contexts-config.yaml; evaluation/fluent-rule-builder/fluent-api-patterns-config.yaml; evaluation/fluent-rule-builder/rule-chain-definitions-config.yaml",4,4,"Complete"
"IntegratedCustomerValidatorDemo","validation/integrated-customer-validator-demo.yaml; validation/integrated-customer/customer-samples-config.yaml; validation/integrated-customer/validation-parameters-config.yaml; validation/integrated-customer/validation-rules-config.yaml",4,4,"Complete"
"IntegratedProductValidatorDemo","validation/integrated-product-validator-demo.yaml; validation/integrated-product/product-samples-config.yaml; validation/integrated-product/product-validation-parameters-config.yaml; validation/integrated-product/product-validation-rules-config.yaml",4,4,"Complete"
"IntegratedTradeValidatorComplexDemo","validation/integrated-trade-validator-complex-demo.yaml; validation/trade-validation/compliance-validation-config.yaml; validation/trade-validation/lookup-services-config.yaml; validation/trade-validation/settlement-validation-config.yaml; validation/trade-validation/trade-samples-config.yaml; validation/trade-validation/validation-rules-config.yaml",6,6,"Complete"
"IntegratedTradeValidatorDemo","validation/integrated-trade-validator-demo.yaml; validation/trade-validation-simple/trade-samples-simple-config.yaml; validation/trade-validation-simple/trade-validation-parameters-config.yaml; validation/trade-validation-simple/validation-rules-simple-config.yaml",4,4,"Complete"
"LayeredAPIDemo","evaluation/layered-api-demo-config.yaml",1,1,"Complete"
"OtcOptionsBootstrapDemo","enrichment/otc-bootstrap/data-sources-config.yaml; enrichment/otc-bootstrap/enrichment-methods-config.yaml; enrichment/otc-bootstrap/sample-otc-options-config.yaml; enrichment/otc-options-bootstrap-demo.yaml",4,4,"Complete"
"PerformanceAndExceptionDemo","evaluation/performance-and-exception-demo.yaml; evaluation/performance-and-exception/exception-handling-scenarios-config.yaml; evaluation/performance-and-exception/performance-monitoring-patterns-config.yaml; evaluation/performance-and-exception/performance-test-contexts-config.yaml",4,4,"Complete"
"PostTradeProcessingServiceDemo","evaluation/post-trade-processing-service-demo.yaml; evaluation/post-trade-processing/post-trade-business-rules-config.yaml; evaluation/post-trade-processing/settlement-operations-config.yaml; evaluation/post-trade-processing/trade-processing-workflows-config.yaml",4,4,"Complete"
"PostgreSQLLookupDemo","lookup/customer-profile-enrichment.yaml; lookup/settlement-instruction-enrichment.yaml",2,2,"Complete"
"PricingServiceDemo","evaluation/pricing-service-demo.yaml; evaluation/pricing-service/pricing-calculation-models-config.yaml; evaluation/pricing-service/pricing-rule-engines-config.yaml; evaluation/pricing-service/pricing-strategy-frameworks-config.yaml",4,4,"Complete"
"QuickStartDemo","/validation/basic-usage-examples-config.yaml; validation/basic-usage-examples-config.yaml",1,2,"Missing 1"
"RiskManagementService","evaluation/risk-management-service-demo.yaml; evaluation/risk-management/risk-assessment-models-config.yaml; evaluation/risk-management/risk-calculation-engines-config.yaml; evaluation/risk-management/risk-monitoring-frameworks-config.yaml",4,4,"Complete"
"RuleConfigDataSourceVerifier","src/main/resources/infrastructure/derivatives-validation-rules.yaml; src/main/resources/infrastructure/financial-validation-rules.yaml; src/main/resources/infrastructure/settlement-validation-rules.yaml",0,3,"Missing 3"
"RuleConfigExternalDatasetSetup","src/main/resources/infrastructure/bootstrap/rule-configuration-bootstrap.yaml",0,1,"Missing 1"
"RuleConfigurationBootstrap","evaluation/bootstrap-comprehensive/combined-business-rules.yaml; evaluation/bootstrap-comprehensive/comprehensive-discount-rules.yaml; evaluation/bootstrap-comprehensive/comprehensive-loan-rules.yaml; evaluation/bootstrap-comprehensive/comprehensive-test-data.yaml; evaluation/bootstrap-comprehensive/infrastructure-config.yaml; evaluation/rule-configuration-bootstrap.yaml",6,6,"Complete"
"RuleConfigurationDemo","evaluation/rule-configuration-demo.yaml",0,1,"Missing 1"
"RuleConfigurationHardcodedBootstrap","evaluation/bootstrap/bootstrap-test-data.yaml; evaluation/bootstrap/discount-rules.yaml; evaluation/bootstrap/loan-approval-rules.yaml; evaluation/rule-configuration-bootstrap-demo.yaml",4,4,"Complete"
"RuleConfigurationHardcodedDemo","evaluation/rule-configuration-demo.yaml; evaluation/rules/combined-rules.yaml; evaluation/rules/discount-rules.yaml; evaluation/rules/loan-approval-rules.yaml",0,4,"Missing 4"
"RuleDefinitionServiceDemo","evaluation/rule-definition-service-demo.yaml; evaluation/rule-definition-service/rule-analysis-processors-config.yaml; evaluation/rule-definition-service/rule-creation-engines-config.yaml; evaluation/rule-definition-service/rule-management-frameworks-config.yaml",4,4,"Complete"
"ScenarioBasedProcessingDemo","evaluation/scenario-based-processing-demo.yaml; evaluation/scenario-processing/processing-execution-config.yaml; evaluation/scenario-processing/sample-data-records-config.yaml; evaluation/scenario-processing/scenario-routing-config.yaml",4,4,"Complete"
"SimplifiedAPIDemo","evaluation/simplified-api-demo-config.yaml",1,1,"Complete"
"TestUtilities","util/test-data/sample-data-config.yaml; util/test-data/test-data-generation-config.yaml; util/test-data/validation-helpers-config.yaml; util/test-utilities-demo.yaml",4,4,"Complete"
"TradeRecordMatcherDemo","evaluation/trade-record-matcher-demo.yaml; evaluation/trade-record-matcher/trade-matching-algorithms-config.yaml; evaluation/trade-record-matcher/trade-record-processors-config.yaml; evaluation/trade-record-matcher/trade-validation-engines-config.yaml",4,4,"Complete"
"TradeTransformerDemo","enrichment/trade-transformer-demo.yaml; enrichment/trade-transformer/trade-field-actions-config.yaml; enrichment/trade-transformer/trade-risk-ratings-config.yaml; enrichment/trade-transformer/trade-transformer-rules-config.yaml",4,4,"Complete"
"YamlConfigurationDemo","evaluation/yaml-configuration-demo-config.yaml",1,1,"Complete"
"YamlDatasetDemo","enrichment/yaml-dataset-demo-config.yaml",1,1,"Complete"
"YamlDependencyAnalysisDemo","util/dependency-analysis/analysis-algorithms-config.yaml; util/dependency-analysis/reporting-features-config.yaml; util/dependency-analysis/scenario-files-config.yaml; util/yaml-dependency-analysis-demo.yaml; validation/otc-options-scenario.yaml",5,5,"Complete"
"YamlValidationDemo","validation/otc-options-scenario.yaml",1,1,"Complete"
